calc_type,date,district,district_id,div_map_id,division,domain,indicator,indicator_id,map_id,perc_point,type,year
p,2017-04-01,Lakhimpur Kheri,d9ZuMopgX29,155,Lucknow Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,153,63.0193986581627,coverage,2018
p,2017-04-01,Lakhimpur Kheri,d9ZuMopgX29,155,Lucknow Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,153,100.0,coverage,2018
p,2017-04-01,Lakhimpur Kheri,d9ZuMopgX29,155,Lucknow Division,communicable_diseases,Total case notification rate of TB against expected TB cases,indicator_10,153,100.0,quality,2018
p,2018-04-01,Lakhimpur Kheri,d9ZuMopgX29,155,Lucknow Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,153,63.6141141389878,coverage,2019
p,2018-04-01,Lakhimpur Kheri,d9ZuMopgX29,155,Lucknow Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,153,100.0,coverage,2019
p,2018-04-01,Lakhimpur Kheri,d9ZuMopgX29,155,Lucknow Division,communicable_diseases,Total case notification rate of TB against expected TB cases,indicator_10,153,17.5839954842577,quality,2019
p,2017-04-01,Agra,N5WWbRtsjWp,146,Agra Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,146,80.1862512663762,coverage,2018
p,2017-04-01,Agra,N5WWbRtsjWp,146,Agra Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,146,100.0,coverage,2018
p,2017-04-01,Agra,N5WWbRtsjWp,146,Agra Division,communicable_diseases,Total case notification rate of TB against expected TB cases,indicator_10,146,100.0,quality,2018
p,2018-04-01,Agra,N5WWbRtsjWp,146,Agra Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,146,80.3585650332938,coverage,2019
p,2018-04-01,Agra,N5WWbRtsjWp,146,Agra Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,146,95.8918982119443,coverage,2019
p,2018-04-01,Agra,N5WWbRtsjWp,146,Agra Division,communicable_diseases,Total case notification rate of TB against expected TB cases,indicator_10,146,30.3907716547521,quality,2019
p,2017-04-01,Aligarh,frD2HOp3wAs,201,Alligarh Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,143,75.6255213173252,coverage,2018
p,2017-04-01,Aligarh,frD2HOp3wAs,201,Alligarh Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,143,100.0,coverage,2018
p,2017-04-01,Aligarh,frD2HOp3wAs,201,Alligarh Division,communicable_diseases,Total case notification rate of TB against expected TB cases,indicator_10,143,100.0,quality,2018
p,2018-04-01,Aligarh,frD2HOp3wAs,201,Alligarh Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,143,70.3788945470765,coverage,2019
p,2018-04-01,Aligarh,frD2HOp3wAs,201,Alligarh Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,143,100.0,coverage,2019
